Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2002','Michigan','Liver and Intrahepatic Bile Duct','4.9','4.5','5.4','500','10015710'
'2002','Minnesota','Liver and Intrahepatic Bile Duct','3.7','3.2','4.3','180','5018935'
'2002','Maine','Liver and Intrahepatic Bile Duct','3.7','2.8','4.8','54','1295960'
'2002','Maryland','Liver and Intrahepatic Bile Duct','5.6','4.9','6.2','292','5440389'
'2002','Massachusetts','Liver and Intrahepatic Bile Duct','5.6','5.1','6.2','382','6417206'
'2002','Kansas','Liver and Intrahepatic Bile Duct','3.3','2.6','4','91','2713535'
'2002','Kentucky','Liver and Intrahepatic Bile Duct','4.3','3.7','5','180','4089875'
'2002','Louisiana','Liver and Intrahepatic Bile Duct','5.7','5','6.5','247','4497267'
'2002','Illinois','Liver and Intrahepatic Bile Duct','5.4','5','5.8','656','12525556'
'2002','Indiana','Liver and Intrahepatic Bile Duct','4','3.5','4.6','250','6155967'
'2002','Iowa','Liver and Intrahepatic Bile Duct','3.7','3.1','4.4','122','2934234'
'2002','Idaho','Liver and Intrahepatic Bile Duct','3.1','2.2','4.3','40','1340372'
'2002','Georgia','Liver and Intrahepatic Bile Duct','4.4','3.9','4.9','323','8508256'
'2002','Florida','Liver and Intrahepatic Bile Duct','5.3','5','5.6','1077','16689370'
'2002','Delaware','Liver and Intrahepatic Bile Duct','3.6','2.4','5.2','30','806169'
'2002','Connecticut','Liver and Intrahepatic Bile Duct','4.5','3.8','5.2','170','3458749'
'2002','Colorado','Liver and Intrahepatic Bile Duct','5.2','4.5','5.9','205','4490406'
'2002','Arkansas','Liver and Intrahepatic Bile Duct','3.3','2.6','4','94','2705927'
'2002','Arizona','Liver and Intrahepatic Bile Duct','5.3','4.7','5.9','284','5396255'
'2002','Alabama','Liver and Intrahepatic Bile Duct','5','4.4','5.7','233','4480089'
'2002','Wisconsin','Liver and Intrahepatic Bile Duct','4.9','4.3','5.5','276','5445162'
'2002','Wyoming','Liver and Intrahepatic Bile Duct','3.4','2','5.5','17','500017'
'2002','West Virginia','Liver and Intrahepatic Bile Duct','4.3','3.4','5.2','92','1805414'
'2002','Washington','Liver and Intrahepatic Bile Duct','5.7','5.1','6.4','342','6052349'
'2002','Virginia','Liver and Intrahepatic Bile Duct','3.3','2.8','3.7','229','7286873'
'2002','Vermont','Liver and Intrahepatic Bile Duct','2.4','1.3','4','Data Suppressed','615442'
'2002','South Carolina','Liver and Intrahepatic Bile Duct','5','4.3','5.7','207','4107795'
'2002','South Dakota','Liver and Intrahepatic Bile Duct','3.5','2.4','5.1','30','760020'
'2002','Oregon','Liver and Intrahepatic Bile Duct','4.3','3.7','5','160','3513424'
'2002','Pennsylvania','Liver and Intrahepatic Bile Duct','5.2','4.9','5.6','753','12331031'
'2002','Rhode Island','Liver and Intrahepatic Bile Duct','5.4','4.1','6.9','63','1065995'
'2002','Ohio','Liver and Intrahepatic Bile Duct','4.4','4.1','4.8','535','11407889'
'2002','Oklahoma','Liver and Intrahepatic Bile Duct','4.7','4','5.5','170','3489080'
'2002','North Carolina','Liver and Intrahepatic Bile Duct','4.2','3.8','4.7','348','8326201'
'2002','New Jersey','Liver and Intrahepatic Bile Duct','5.5','5.1','6','496','8552643'
'2002','District of Columbia','Liver and Intrahepatic Bile Duct','6.4','4.5','8.9','36','573158'
'2002','Alaska','Liver and Intrahepatic Bile Duct','6.4','4.1','9.4','30','642337'
'2002','New York','Liver and Intrahepatic Bile Duct','6.4','6','6.7','1265','19137800'
'2002','California','Liver and Intrahepatic Bile Duct','7.3','7','7.6','2287','34871843'
'2002','Texas','Liver and Intrahepatic Bile Duct','7.3','6.9','7.7','1361','21690325'
'2002','New Mexico','Liver and Intrahepatic Bile Duct','7.1','5.9','8.4','130','1855309'
'2003','Rhode Island','Liver and Intrahepatic Bile Duct','7.8','6.3','9.6','92','1071342'
'2003','Montana','Liver and Intrahepatic Bile Duct','3.1','2.1','4.4','32','919630'
'2003','Idaho','Liver and Intrahepatic Bile Duct','3.1','2.2','4.2','40','1363380'
'2003','Hawaii','Liver and Intrahepatic Bile Duct','10.1','8.5','12','136','1251154'
'2003','Wisconsin','Liver and Intrahepatic Bile Duct','5','4.5','5.7','288','5479203'
'2003','Wyoming','Liver and Intrahepatic Bile Duct','4','2.5','6.2','21','503453'
'2003','West Virginia','Liver and Intrahepatic Bile Duct','4.1','3.3','5.1','88','1812295'
'2003','Washington','Liver and Intrahepatic Bile Duct','5.5','4.9','6.1','332','6104115'
'2003','Virginia','Liver and Intrahepatic Bile Duct','4.9','4.4','5.5','356','7366977'
'2003','Utah','Liver and Intrahepatic Bile Duct','3.3','2.5','4.2','59','2360137'
'2003','Vermont','Liver and Intrahepatic Bile Duct','4.1','2.7','6','27','617858'
'2003','South Dakota','Liver and Intrahepatic Bile Duct','3.3','2.2','4.8','28','763729'
