Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2002','New Mexico','Lung and Bronchus','50.3','47','53.7','904','1855309'
'2002','Wyoming','Lung and Bronchus','52.1','45.9','58.9','259','500017'
'2002','Hawaii','Lung and Bronchus','51.6','47.8','55.7','684','1239613'
'2002','Iowa','Lung and Bronchus','67.2','64.4','70.1','2229','2934234'
'2002','Kansas','Lung and Bronchus','62.6','59.7','65.6','1726','2713535'
'2002','Montana','Lung and Bronchus','67','62','72.3','667','911667'
'2002','Nebraska','Lung and Bronchus','63','59.4','66.8','1134','1728292'
'2002','New Jersey','Lung and Bronchus','67.7','66','69.4','6077','8552643'
'2002','North Carolina','Lung and Bronchus','72.6','70.8','74.5','6002','8326201'
'2002','Oklahoma','Lung and Bronchus','85.7','82.7','88.7','3132','3489080'
'2002','Ohio','Lung and Bronchus','76.4','74.9','78','9230','11407889'
'2002','Rhode Island','Lung and Bronchus','78.1','73.1','83.4','907','1065995'
'2002','Pennsylvania','Lung and Bronchus','71.6','70.2','73','10479','12331031'
'2002','Oregon','Lung and Bronchus','71.2','68.5','74','2584','3513424'
'2002','Tennessee','Lung and Bronchus','72.1','70','74.3','4308','5795918'
'2002','South Carolina','Lung and Bronchus','76.1','73.4','78.8','3163','4107795'
'2002','Texas','Lung and Bronchus','70.4','69.2','71.7','12577','21690325'
'2002','Washington','Lung and Bronchus','69','66.9','71.3','3901','6052349'
'2002','West Virginia','Lung and Bronchus','91.1','87.2','95.2','1997','1805414'
'2002','Alabama','Lung and Bronchus','76.5','74','79','3627','4480089'
'2002','Alaska','Lung and Bronchus','72.4','63.7','81.9','289','642337'
'2002','Arkansas','Lung and Bronchus','82.5','79.3','85.9','2455','2705927'
'2002','Connecticut','Lung and Bronchus','70.2','67.5','72.9','2629','3458749'
'2002','District of Columbia','Lung and Bronchus','67.5','60.9','74.7','376','573158'
'2002','Delaware','Lung and Bronchus','73.4','67.7','79.4','622','806169'
'2002','Florida','Lung and Bronchus','75.3','74.2','76.5','16099','16689370'
'2002','Georgia','Lung and Bronchus','77.5','75.5','79.6','5516','8508256'
'2002','Indiana','Lung and Bronchus','82.8','80.6','85.1','5078','6155967'
'2002','Illinois','Lung and Bronchus','74.6','73.1','76.2','9041','12525556'
'2002','Louisiana','Lung and Bronchus','77.1','74.5','79.8','3316','4497267'
'2002','Kentucky','Lung and Bronchus','102.6','99.6','105.7','4303','4089875'
'2002','Massachusetts','Lung and Bronchus','73','71','75.1','4937','6417206'
'2002','Maryland','Lung and Bronchus','69.5','67.3','71.9','3614','5440389'
'2002','Maine','Lung and Bronchus','79.5','75.1','84.2','1185','1295960'
'2002','Michigan','Lung and Bronchus','73.9','72.3','75.6','7403','10015710'
'2002','Missouri','Lung and Bronchus','81','78.7','83.3','4875','5674825'
'2002','Mississippi','Lung and Bronchus','null','null','null','Data Suppressed','null'
'2002','New Hampshire','Lung and Bronchus','71.2','66.6','76','891','1269089'
'2002','Nevada','Lung and Bronchus','80.2','76.3','84.2','1638','2173791'
'2002','California','Lung and Bronchus','57.6','56.7','58.4','17472','34871843'
'2002','Colorado','Lung and Bronchus','56.4','54','58.9','2064','4490406'
'2002','Idaho','Lung and Bronchus','55.3','51.2','59.6','683','1340372'
'2002','Minnesota','Lung and Bronchus','58.5','56.4','60.7','2826','5018935'
'2002','New York','Lung and Bronchus','65.7','64.6','66.9','13023','19137800'
'2002','North Dakota','Lung and Bronchus','59.3','53.8','65.4','420','638168'
'2002','South Dakota','Lung and Bronchus','62.2','57','67.9','516','760020'
'2002','Vermont','Lung and Bronchus','60.2','54.3','66.5','391','615442'
'2002','Virginia','Lung and Bronchus','63.7','61.9','65.6','4414','7286873'
'2002','Wisconsin','Lung and Bronchus','63.2','61.2','65.3','3556','5445162'
'2002','Arizona','Lung and Bronchus','59','57','61.1','3253','5396255'
